Grid Size,64,128,256,512,1024,2048,4096,8192,16384
Rust cudarc,0.08,0.09,0.1,0.17,0.87,3.01,11.57,45.84,182.82
C OpenACC,0.34,0.35,0.35,0.42,1.09,3.26,11.96,46.63,185.41
Fortran OpenACC,0.28,0.27,0.29,0.37,1.03,3.24,12.57,52.49,220.45
