Cores,1,2,4,8,16,32,64,128
4096x4096,956.1,536.34,445.94,492.3,462.38,447.05,563.97,605.14
8192x8192,3815.21,2107.51,1905.49,1631.81,1466.31,1336.07,1289.31,1316.35
16384x16384,3947.88,2146.24,1909.23,1463.05,1358.58,1349.14,1221.39,1220.45
