Grid Size,64,128,256,512,1024
Rust,0.116399238,0.498656913,1.986277515,8.616118273,53.66773233
C,0.105982,0.582811,2.088807,19.411679,80.709229
Fortran,0.166775,0.703644,2.679545,11.217221,45.413329
Python,0.9997272212,2.763215324,10.00082938,43.3534846,272.8006645
